species	organ	disease	to_remove
mus musculus	Hypothalamus	No	
mus musculus	Ileum	No	
mus musculus	Intestine, Large	No	
mus musculus	Intestine, Small	No	
mus musculus	Intestines	No	
mus musculus	Intra-Abdominal Fat	No	
mus musculus	Kidney	No	
mus musculus	Leukocytes	No	
mus musculus	Liver	No	
mus musculus	Lung	No	
mus musculus	Macrophages, Peritoneal	No	
mus musculus	Mammary Glands, Animal	No	
mus musculus	Milk	No	
mus musculus	Mouse Embryonic Stem Cells	No	
mus musculus	Muscle Fibers, Skeletal	No	
mus musculus	Muscle, Skeletal	No	
mus musculus	Neurons	No	
mus musculus	Peritoneal Cavity	No	
mus musculus	Placenta	No	
mus musculus	Plasma	No	
mus musculus	Prostate	No	
mus musculus	Pyloric Antrum	No	
mus musculus	RAW 264.7 Cells	No	
mus musculus	Sciatic Nerve	No	
mus musculus	Serum	No	
mus musculus	Skin	Carcinoma, Squamous Cell	
mus musculus	Skin	No	
mus musculus	Spinal Cord	No	
mus musculus	Spleen	No	
mus musculus	Stem Cells	No	
mus musculus	Stomach	No	
mus musculus	Subcutaneous Fat	No	
mus musculus	T-Lymphocyte Subsets	No	
mus musculus	T-Lymphocytes	No	
mus musculus	Tissues	Neoplasms	
mus musculus	Tissues	No	
mus musculus	Trophoblasts	No	
mus musculus	Urinary Bladder	No	
mus musculus	Urine	No	
mus sp.	Blood	No	
mus sp.	Cerebellum	No	
mus sp.	Muscle, Skeletal	No	
mus sp.	Spleen	No	
mus sp.	Urine	No	
musa acuminata	Fruit	No	
mycoplasma	Cells	No	
nannochloropsis salina	Cells	No	
nicotiana tabacum	Plant Leaves	No	
olea europaea	Fruit	No	
olea europaea	Plant Leaves	No	
ornithogalum cuspidatum	Plant Leaves	No	
oryctolagus cuniculus	Aorta	No	
oryctolagus cuniculus	Heart	No	
oryctolagus cuniculus	Plasma	No	
oryctolagus cuniculus	Serum	No	
oryza sativa	Extracellular Fluid	No	
oryza sativa	Plant Leaves	No	
oryza sativa	Seeds	No	
ovis aries	Adipose Tissue, White	No	
ovis aries	Amniotic Fluid	No	
ovis aries	Blood	No	
ovis aries	Brain	No	
ovis aries	Carotid Arteries	No	
ovis aries	Endometrium	No	
ovis aries	Endothelial Cells	No	
ovis aries	Endothelium, Lymphatic	No	
ovis aries	Feces	No	
ovis aries	Lung	No	
ovis aries	Muscle, Skeletal	No	
ovis aries	Plasma	No	
ovis aries	Pulmonary Artery	No	
ovis aries	Serum	No	
ovis aries	Urine	No	
ovis aries	Uterine Artery	No	
pan troglodytes	Liver	No	
panicum miliaceum	Tissues	No	
papio hamadryas	Liver	No	
parthenium argentatum	Plant Roots	No	
